"","bill_number","bill_link","bill_name","current_status","first_house_progress","second_house_progress","after_passage_progress","description","sponsors","requester","bill_history","democrat_sponsor_count","republican_sponsor_count","total_days_spent","season_years_active","party","general_status","chapter","year"
"99",1098,"https://app.leg.wa.gov/billsummary?BillNumber=1098&Year=2021&Initiative=false","HB 1098","HLabor & Workpl","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning unemployment insurance.","Sells, Leavitt, Bateman, Ortiz-Self, Kloba, Rule, Macri","Office of the Governor","2021 REGULAR SESSION: Start Jan 6 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",7,0,369,"2021-2022","democrat","in committee",NA,NA
"100",1099,"https://app.leg.wa.gov/billsummary?BillNumber=1099&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 1099","HRules 3C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Improving the state's climate response through updates to the state's comprehensive planning framework.","Duerr, Fitzgibbon, Dolan, Bateman, Ramel, Gregerson, Goodman, Ryu, Kloba, Chopp, Ormsby, Pollet, Fey, Santos, Davis","No Requester","2021 REGULAR SESSION: Start Jan 6 End Mar 5. IN THE SENATE: Start Mar 8 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 21. IN THE SENATE: Start Jan 25 End Mar 3. IN THE HOUSE: Start Mar 7 End Mar 7. IN THE SENATE: Start Mar 8 End Mar 9. IN THE HOUSE: Start Mar 9 End Mar 9. IN THE SENATE: Start Mar 10 End Mar 10. IN THE HOUSE: Start Mar 10 End Mar 10.",14,0,428,"2021-2022","democrat","rules committee",NA,NA
"101",1100,"https://app.leg.wa.gov/billsummary?BillNumber=1100&Year=2021&Initiative=false","2nd Substitute - 2SHB 1100","HRules R","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the sale or lease of manufactured/mobile home communities and the property on which they sit.","Duerr, Kloba, Bateman, Ramel, Ortiz-Self, Gregerson, Valdez, Macri, Chopp","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 26. 2022 REGULAR SESSION: Start Jan 10 End Feb 7.",9,0,396,"2021-2022","democrat","rules committee",NA,NA
"102",1101,"https://app.leg.wa.gov/billsummary?BillNumber=1101&Year=2021&Initiative=false","HB 1101","HCap Budget","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Creating a grant program for converting unused public buildings to housing for homeless persons.","Walsh, Corry, Graham, Dent, Caldier, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 26. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,6,368,"2021-2022","bipartisan","in committee",NA,NA
"103",1102,"https://app.leg.wa.gov/billsummary?BillNumber=1102&Year=2021&Initiative=false","HB 1102","HRDev, Ag&NR","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing an intrastate meat inspection program.","Walsh, Shewmake, Dent","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,2,368,"2021-2022","bipartisan","in committee",NA,NA
"104",1103,"https://app.leg.wa.gov/billsummary?BillNumber=1103&Year=2021&Initiative=false","Substitute - SHB 1103","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Improving environmental and social outcomes with the production of building materials.","Duerr, Shewmake, Fitzgibbon, Bateman, Ramel, Ryu, Kloba, Macri","No Requester","2021 REGULAR SESSION: Start Jan 7 End Feb 18. 2022 REGULAR SESSION: Start Jan 10 End Feb 3.",8,0,392,"2021-2022","democrat","in committee",NA,NA
"105",1104,"https://app.leg.wa.gov/billsummary?BillNumber=1104&Year=2021&Initiative=false","HB 1104","C 31 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Extending the operation of the mortgage lending fraud prosecution account until June 30, 2027.","Ryu, Kloba","Department of Financial Institutions","2021 REGULAR SESSION: Start Jan 7 End Feb 25. IN THE SENATE: Start Mar 1 End Mar 30. IN THE HOUSE: Start Apr 3 End Apr 3. IN THE SENATE: Start Apr 5 End Apr 5. OTHER THAN LEGISLATIVE ACTION: Start Apr 8 End Apr 14.",2,0,97,"2021","democrat","passed",31,21
"106",1105,"https://app.leg.wa.gov/billsummary?BillNumber=1105&Year=2021&Initiative=false","HB 1105","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning arrest protections for the medical use of cannabis.","Kloba, Simmons, Fitzgibbon, Dolan, Ortiz-Self, Goodman, Vick, Ormsby, Riccelli, Santos, Macri, Davis","No Requester","2021 REGULAR SESSION: Start Jan 7 End Mar 1. IN THE SENATE: Start Mar 4 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 26. IN THE SENATE: Start Feb 1 End Mar 10.",10,1,427,"2021-2022","bipartisan","rules committee",NA,NA
"107",1106,"https://app.leg.wa.gov/billsummary?BillNumber=1106&Year=2021&Initiative=false","HB 1106","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Modifying the operation of motorcycles on roadways laned for traffic.","MacEwen, Corry, Hoff, Schmick","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,4,368,"2021-2022","republican","in committee",NA,NA
"108",1107,"https://app.leg.wa.gov/billsummary?BillNumber=1107&Year=2021&Initiative=false","Substitute - SHB 1107","C 150 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Expanding certain nonresident vessel permit provisions.","Chapman, Barkis, Corry, Tharinger, Graham","No Requester","2021 REGULAR SESSION: Start Jan 7 End Mar 1. IN THE SENATE: Start Mar 4 End Apr 6. IN THE HOUSE: Start Apr 13 End Apr 14. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End May 3.",2,3,116,"2021","bipartisan","passed",150,21
"109",1108,"https://app.leg.wa.gov/billsummary?BillNumber=1108&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1108","C 151 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Maintaining funding and assistance for homeowners navigating the foreclosure process.","Orwall, Ortiz-Self, Kloba, Hackney, Chopp, Santos, Macri, Pollet, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 29. IN THE SENATE: Start Feb 3 End Apr 3. IN THE HOUSE: Start Apr 12 End Apr 14. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End May 3.",8,1,116,"2021","bipartisan","passed",151,21
"110",1109,"https://app.leg.wa.gov/billsummary?BillNumber=1109&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1109","C 118 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning victims of sexual assault.","Orwall, Mosbrucker, Simmons, Goodman, Leavitt, Valdez, Kloba, Graham, Morgan, Caldier, Rule, Macri","No Requester","2021 REGULAR SESSION: Start Jan 7 End Feb 25. IN THE SENATE: Start Mar 1 End Mar 29. IN THE HOUSE: Start Apr 12 End Apr 14. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End Apr 26.",9,3,109,"2021","bipartisan","passed",118,21
"111",1110,"https://app.leg.wa.gov/billsummary?BillNumber=1110&Year=2021&Initiative=false","HB 1110","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the composition of local boards of health.","Riccelli, Ormsby, Bateman, Leavitt, Cody, Stonier, Frame, Macri, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",8,0,368,"2021-2022","democrat","in committee",NA,NA
"112",1111,"https://app.leg.wa.gov/billsummary?BillNumber=1111&Year=2021&Initiative=false","HB 1111","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning investment income tax deductions.","Cody, Macri, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 7 End Mar 16. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",3,0,368,"2021-2022","democrat","in committee",NA,NA
"113",1112,"https://app.leg.wa.gov/billsummary?BillNumber=1112&Year=2021&Initiative=false","HB 1112","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding a use tax exemption for new Washington residents and nonresident members of the armed forces.","Dent, Chapman, Corry, Young, Graham","No Requester","2021 REGULAR SESSION: Start Jan 7 End Jan 28. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,4,368,"2021-2022","bipartisan","in committee",NA,NA
"114",1113,"https://app.leg.wa.gov/billsummary?BillNumber=1113&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1113","C 119 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning school attendance.","Ortiz-Self, Kloba, Pollet","Superintendent of Public Instruction","2021 REGULAR SESSION: Start Jan 8 End Mar 3. IN THE SENATE: Start Mar 6 End Apr 9. IN THE HOUSE: Start Apr 12 End Apr 12. IN THE SENATE: Start Apr 15 End Apr 15. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End Apr 26.",3,0,108,"2021","democrat","passed",119,21
"115",1114,"https://app.leg.wa.gov/billsummary?BillNumber=1114&Year=2021&Initiative=false","Substitute - SHB 1114","C 11 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Encouraging utility mitigation of urban heat island effects.","Dye, Ramel","No Requester","2021 REGULAR SESSION: Start Jan 8 End Feb 25. IN THE SENATE: Start Mar 1 End Mar 24. IN THE HOUSE: Start Mar 28 End Mar 28. IN THE SENATE: Start Mar 29 End Mar 29. OTHER THAN LEGISLATIVE ACTION: Start Apr 5 End Apr 7.",1,1,89,"2021","bipartisan","passed",11,21
"116",1115,"https://app.leg.wa.gov/billsummary?BillNumber=1115&Year=2021&Initiative=false","HB 1115","C 32 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Implementing cost recovery of state agency credit card and transaction fees and related costs for driver and vehicle fee transactions.","Fey, Wylie, Bronoske, Ramos","Office of Financial Management","2021 REGULAR SESSION: Start Jan 8 End Mar 2. IN THE SENATE: Start Mar 5 End Apr 3. IN THE HOUSE: Start Apr 3 End Apr 3. IN THE SENATE: Start Apr 5 End Apr 5. OTHER THAN LEGISLATIVE ACTION: Start Apr 8 End Apr 14.",4,0,96,"2021","democrat","passed",32,21
"117",1116,"https://app.leg.wa.gov/billsummary?BillNumber=1116&Year=2021&Initiative=false","HB 1116","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing small winery tax relief.","Wylie","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,0,367,"2021-2022","democrat","in committee",NA,NA
"118",1117,"https://app.leg.wa.gov/billsummary?BillNumber=1117&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 1117","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Promoting salmon recovery through revisions to the state's comprehensive planning framework.","Lekanoff, Fitzgibbon, Bateman, Simmons, Ramel, Peterson, Goodman, Ryu, Kloba, Chopp, Pollet, Macri, Davis","No Requester","2021 REGULAR SESSION: Start Jan 8 End Mar 2. IN THE SENATE: Start Mar 5 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 26. IN THE SENATE: Start Feb 1 End Mar 10.",13,0,426,"2021-2022","democrat","rules committee",NA,NA
"119",1118,"https://app.leg.wa.gov/billsummary?BillNumber=1118&Year=2021&Initiative=false","HB 1118","HEnv & Energy","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the management of certain materials to support recycling and waste and litter reduction.","Berry, Fitzgibbon, Bateman, Senn, Peterson, Gregerson, Ryu, Kloba, Macri, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",10,0,367,"2021-2022","democrat","in committee",NA,NA
"120",1119,"https://app.leg.wa.gov/billsummary?BillNumber=1119&Year=2021&Initiative=false","HB 1119","C 152 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Notifying students of courses with low-cost instructional materials and open educational resources at the four-year institutions of higher education.","Jacobsen, Simmons, Young, Graham, Pollet, Leavitt, Dolan, Rule","No Requester","2021 REGULAR SESSION: Start Jan 8 End Feb 12. IN THE SENATE: Start Feb 16 End Apr 9. IN THE HOUSE: Start Apr 13 End Apr 14. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End May 3.",5,3,115,"2021","bipartisan","passed",152,21
"121",1120,"https://app.leg.wa.gov/billsummary?BillNumber=1120&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1120","C 203 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning state of emergency operations impacting long-term services and supports.","Tharinger, Harris, Cody, Riccelli, Stonier, Macri","Department of Social and Health Services","2021 REGULAR SESSION: Start Jan 8 End Feb 5. IN THE SENATE: Start Feb 11 End Apr 19. IN THE HOUSE: Start Apr 22 End Apr 23. IN THE SENATE: Start Apr 24 End Apr 24. OTHER THAN LEGISLATIVE ACTION: Start Apr 26 End May 10.",4,1,122,"2021","bipartisan","passed",203,21
"122",1121,"https://app.leg.wa.gov/billsummary?BillNumber=1121&Year=2021&Initiative=false","Engrossed - EHB 1121","C 7 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the emergency waiver of graduation requirements.","Santos, Ybarra, Ortiz-Self, Gregerson, Paul, Stonier, Pollet, Bergquist, Harris-Talley","State Board of Education","2021 REGULAR SESSION: Start Jan 8 End Jan 27. IN THE SENATE: Start Jan 29 End Feb 16. IN THE HOUSE: Start Feb 17 End Feb 17. IN THE SENATE: Start Feb 18 End Feb 18. OTHER THAN LEGISLATIVE ACTION: Start Feb 25 End Mar 2.",7,2,53,"2021","bipartisan","passed",7,21
"123",1122,"https://app.leg.wa.gov/billsummary?BillNumber=1122&Year=2021&Initiative=false","HB 1122","C 258 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the retirement age for state guard members.","Lovick, Klippert, Ryu, Goodman, MacEwen, Orwall","No Requester","2021 REGULAR SESSION: Start Jan 8 End Feb 25. IN THE SENATE: Start Mar 1 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 12. IN THE SENATE: Start Jan 14 End Mar 1. IN THE HOUSE: Start Mar 2 End Mar 2. IN THE SENATE: Start Mar 2 End Mar 2. OTHER THAN LEGISLATIVE ACTION: Start Mar 7 End Mar 31.",4,2,447,"2021-2022","bipartisan","passed",258,22
"124",1123,"https://app.leg.wa.gov/billsummary?BillNumber=1123&Year=2021&Initiative=false","HB 1123","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the authority of the nursing care quality assurance commission.","Cody","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 27. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,0,367,"2021-2022","democrat","in committee",NA,NA
"125",1124,"https://app.leg.wa.gov/billsummary?BillNumber=1124&Year=2021&Initiative=false","Substitute - SHB 1124","C 14 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning nurse delegation of glucose monitoring, glucose testing, and insulin injections.","Cody","No Requester","2021 REGULAR SESSION: Start Jan 8 End Feb 3. IN THE SENATE: Start Feb 5 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 12. IN THE SENATE: Start Jan 14 End Mar 2. IN THE HOUSE: Start Mar 2 End Mar 2. IN THE SENATE: Start Mar 2 End Mar 2. OTHER THAN LEGISLATIVE ACTION: Start Mar 7 End Mar 11.",1,0,427,"2021-2022","democrat","passed",14,22
"126",1125,"https://app.leg.wa.gov/billsummary?BillNumber=1125&Year=2021&Initiative=false","HB 1125","HEnv & Energy","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Incentivizing investment in energy conservation and efficiency measures and expanding opportunities for energy rate discounts to, among other objectives, reduce the energy burden of low-income customers and vulnerable populations.","Shewmake, Fitzgibbon, Ryu, Leavitt, Valdez, Fey, Macri, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 29. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",8,0,367,"2021-2022","democrat","in committee",NA,NA
"127",1126,"https://app.leg.wa.gov/billsummary?BillNumber=1126&Year=2021&Initiative=false","2nd Substitute - 2SHB 1126","HRules R","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Limiting tolling of community custody terms.","Goodman, Simmons, Ormsby, Davis","Department of Corrections","2021 REGULAR SESSION: Start Jan 8 End Feb 15. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",4,0,367,"2021-2022","democrat","rules committee",NA,NA
"128",1127,"https://app.leg.wa.gov/billsummary?BillNumber=1127&Year=2021&Initiative=false","2nd Substitute - 2SHB 1127","Gov vetoed","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '0']","Protecting the privacy and security of COVID-19 health data collected by entities other than public health agencies, health care providers, and health care facilities.","Slatter, Boehnke, Valdez, Kloba, Graham, Macri, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 8 End Mar 1. IN THE SENATE: Start Mar 4 End Apr 10. IN THE HOUSE: Start Apr 14 End Apr 20. IN THE SENATE: Start Apr 21 End Apr 21. OTHER THAN LEGISLATIVE ACTION: Start Apr 22 End May 18.",5,2,130,"2021","bipartisan","vetoed",NA,NA
"129",1128,"https://app.leg.wa.gov/billsummary?BillNumber=1128&Year=2021&Initiative=false","Substitute - SHB 1128","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning housing benefit districts.","Ryu, Hackney, Wylie, Bateman, Berg, Simmons, Ramel, Gregerson, Valdez, Duerr, Lekanoff, Macri, Pollet, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Jan 8 End Feb 2. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",14,1,367,"2021-2022","bipartisan","in committee",NA,NA
"130",1129,"https://app.leg.wa.gov/billsummary?BillNumber=1129&Year=2021&Initiative=false","Substitute - SHB 1129","C 204 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the licensure of international medical graduates.","Valdez, Stonier, Ortiz-Self, Goodman, Cody, Santos, Macri","No Requester","2021 REGULAR SESSION: Start Jan 8 End Feb 24. IN THE SENATE: Start Feb 26 End Apr 10. IN THE HOUSE: Start Apr 13 End Apr 14. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End May 10.",5,0,122,"2021","democrat","passed",204,21
"131",1130,"https://app.leg.wa.gov/billsummary?BillNumber=1130&Year=2021&Initiative=false","HB 1130","HEnv & Energy","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning consumer affordability and reliability in energy supply.","Dye, Klicker, Young, Jacobsen, Schmick","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 22. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,5,367,"2021-2022","republican","in committee",NA,NA
"132",1131,"https://app.leg.wa.gov/billsummary?BillNumber=1131&Year=2021&Initiative=false","Engrossed - EHB 1131","C 8 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the emergency waiver of instructional hours and days at private schools.","Rude, Callan","State Board of Education","2021 REGULAR SESSION: Start Jan 8 End Jan 27. IN THE SENATE: Start Jan 29 End Feb 16. IN THE HOUSE: Start Feb 17 End Feb 17. IN THE SENATE: Start Feb 18 End Feb 18. OTHER THAN LEGISLATIVE ACTION: Start Feb 25 End Mar 2.",1,1,53,"2021","bipartisan","passed",8,21
"133",1132,"https://app.leg.wa.gov/billsummary?BillNumber=1132&Year=2021&Initiative=false","HB 1132","HRDev, Ag&NR","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the protection of water supply for farming and rural economic development.","Kretz, Chapman, Dent, Springer","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 20. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",2,2,367,"2021-2022","bipartisan","in committee",NA,NA
"134",1133,"https://app.leg.wa.gov/billsummary?BillNumber=1133&Year=2021&Initiative=false","HB 1133","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reporting lost or stolen firearms.","Berry, Thai, Bateman, Ramel, Ortiz-Self, Peterson, Ryu, Valdez, Kloba, Hackney, Cody, Macri, Davis, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",14,0,367,"2021-2022","democrat","in committee",NA,NA
"135",1134,"https://app.leg.wa.gov/billsummary?BillNumber=1134&Year=2021&Initiative=false","HB 1134","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the disposition of forfeited firearms by the Washington state patrol.","Berry, Senn, Simmons, Ramel, Peterson, Ryu, Leavitt, Valdez, Kloba, Hackney, Cody, Santos, Macri, Davis, Pollet","No Requester","2021 REGULAR SESSION: Start Jan 8 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",14,0,367,"2021-2022","democrat","in committee",NA,NA
"136",1135,"https://app.leg.wa.gov/billsummary?BillNumber=1135&Year=2021&Initiative=false","Substitute - SHB 1135","HRules X","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Making transportation appropriations for the 2021-2023 fiscal biennium.","Fey, Bronoske, Hackney, Ramos","Office of Financial Management","2021 REGULAR SESSION: Start Jan 8 End Mar 26. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",4,0,367,"2021-2022","democrat","x-file",NA,NA
"137",1136,"https://app.leg.wa.gov/billsummary?BillNumber=1136&Year=2021&Initiative=false","HB 1136","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Making 2019-2021 supplemental transportation appropriations.","Fey, Wylie, Bronoske, Ramos","Office of Financial Management","2021 REGULAR SESSION: Start Jan 8 End Jan 21. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",4,0,367,"2021-2022","democrat","in committee",NA,NA
"138",1137,"https://app.leg.wa.gov/billsummary?BillNumber=1137&Year=2021&Initiative=false","Substitute - SHB 1137","C 153 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Elevating road maintenance and preservation in transportation planning.","McCaslin, Young, Barkis, Schmick, Graham","No Requester","2021 REGULAR SESSION: Start Jan 8 End Mar 6. IN THE SENATE: Start Mar 9 End Apr 7. IN THE HOUSE: Start Apr 24 End Apr 25. IN THE SENATE: Start Apr 25 End Apr 25. OTHER THAN LEGISLATIVE ACTION: Start Apr 26 End May 3.",0,5,115,"2021","republican","passed",153,21
"139",1138,"https://app.leg.wa.gov/billsummary?BillNumber=1138&Year=2021&Initiative=false","HB 1138","HColl & Wkf Dev","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Ensuring price accuracy for tuition units in the guaranteed education tuition program.","Bergquist, Paul, Lekanoff, Hackney, Goodman, Gregerson, Chambers","No Requester","2021 REGULAR SESSION: Start Jan 12 End Jan 12. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",7,1,363,"2021-2022","bipartisan","in committee",NA,NA
"140",1139,"https://app.leg.wa.gov/billsummary?BillNumber=1139&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 1139","C 154 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Taking action to address lead in drinking water.","Pollet, Callan, Berg, Dolan, Ryu, Leavitt, Bronoske, Ramel, Ramos, Lekanoff, Stonier, Ortiz-Self, Frame, Goodman, Rule, Bergquist, Berry, Wylie, Jesse Johnson, Taylor, Valdez","No Requester","2021 REGULAR SESSION: Start Jan 12 End Mar 4. IN THE SENATE: Start Mar 6 End Apr 11. IN THE HOUSE: Start Apr 14 End Apr 20. IN THE SENATE: Start Apr 21 End Apr 21. OTHER THAN LEGISLATIVE ACTION: Start Apr 22 End May 3.",20,0,111,"2021","democrat","passed",154,21
"141",1140,"https://app.leg.wa.gov/billsummary?BillNumber=1140&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1140","C 328 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning juvenile access to attorneys when contacted by law enforcement.","Jesse Johnson, Frame, Entenman, Sells, Taylor, Santos, Stonier, Ormsby, Lekanoff, Davis, Hackney, Macri, Callan, Chopp, Pollet, Ryu, Goodman, Berg, Ramos, Bergquist, Gregerson, Wicks, Peterson, Thai, Dolan, Bateman, Simmons, Fitzgibbon, Valdez","No Requester","2021 REGULAR SESSION: Start Jan 12 End Mar 2. IN THE SENATE: Start Mar 5 End Apr 11. IN THE HOUSE: Start Apr 15 End Apr 20. IN THE SENATE: Start Apr 21 End Apr 21. OTHER THAN LEGISLATIVE ACTION: Start Apr 22 End May 18.",27,0,126,"2021","democrat","passed",328,21
"142",1141,"https://app.leg.wa.gov/billsummary?BillNumber=1141&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1141","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Increasing access to the death with dignity act.","Rude, Macri, Stonier, Tharinger, Ormsby, Frame, Pollet, Goodman, Peterson, Thai, Ramel, Jesse Johnson, Bateman, Simmons, Fitzgibbon, Valdez","No Requester","2021 REGULAR SESSION: Start Jan 12 End Feb 25. IN THE SENATE: Start Mar 1 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 12. IN THE SENATE: Start Jan 14 End Mar 10.",14,1,422,"2021-2022","bipartisan","rules committee",NA,NA
"143",1142,"https://app.leg.wa.gov/billsummary?BillNumber=1142&Year=2021&Initiative=false","HB 1142","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Authorizing the installation of auto mall directional signs on state highways.","Hoff, Wylie, Vick","No Requester","2021 REGULAR SESSION: Start Jan 12 End Jan 12. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,2,363,"2021-2022","bipartisan","in committee",NA,NA
"144",1143,"https://app.leg.wa.gov/billsummary?BillNumber=1143&Year=2021&Initiative=false","HB 1143","C 110 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Authorizing the placement of water rights banked pursuant to RCW 90.92.070 into the trust water rights program.","Rude, Klicker, Eslick, Dent","No Requester","2021 REGULAR SESSION: Start Jan 12 End Feb 24. IN THE SENATE: Start Feb 26 End Apr 10. IN THE HOUSE: Start Apr 12 End Apr 12. IN THE SENATE: Start Apr 15 End Apr 15. OTHER THAN LEGISLATIVE ACTION: Start Apr 16 End Apr 21.",0,4,99,"2021","republican","passed",110,21
